Conundrums,Solutions,Difficulty
ABCDGINTU,ABDUCTING,1
ABGILNOSV,ABSOLVING,1
ACEGHIINV,ACHIEVING,1
ACDEIQTTU,ACQUITTED,1
AAADLMNTY,ADAMANTLY,1
ADGIJNSTU,ADJUSTING,1
ADFFGINOR,AFFORDING,1
AAGILMNYZ,AMAZINGLY,1
AAIIMNNOT,ANIMATION,1
AGINOPPRV,APPROVING,1
AABIRRRTY,ARBITRARY,1
AAGGINNRR,ARRANGING,1
AACGHINTT,ATTACHING,1
AACGIKNTT,ATTACKING,1
ADEEMPTTT,ATTEMPTED,1
AAABEILLV,AVAILABLE,1
AAACEHLNV,AVALANCHE,1
AADKLRWWY,AWKWARDLY,1
AABBCDKOR,BACKBOARD,1
AABDGGINN,BANDAGING,1
AABDDNNST,BANDSTAND,1
ABFHLLSUY,BASHFULLY,1
ABEGINRTT,BATTERING,1
BCEGIKNNO,BECKONING,1
ABDDEELZZ,BEDAZZLED,1
BEEEFINSS,BEEFINESS,1
BDDDEEFLU,BEFUDDLED,1
BEEGGINTT,BEGETTING,1
ABDEEGHIN,BEHEADING,1
BEEGIILNV,BELIEVING,1
BEGILLNOW,BELLOWING,1
BEGINOSTW,BESTOWING,1
BEEGINRTT,BETTERING,1
BCDEEHITW,BEWITCHED,1
BCEGIIKNR,BICKERING,1
BGIILLNOW,BILLOWING,1
AABCCJKKL,BLACKJACK,1
ABCGHILNN,BLANCHING,1
ABEKLNNSS,BLANKNESS,1
ABCEGHILN,BLEACHING,1
BDELLOOSS,BLOODLESS,1
BCGHILNOT,BLOTCHING,1
ABDMOOORR,BOARDROOM,1
BGINOORRW,BORROWING,1
BGIMNOOTT,BOTTOMING,1
ABEIINRST,BRAINIEST,1
ABCGHINNR,BRANCHING,1
ABEHNRSSS,BRASHNESS,1
ABCEGHINR,BREACHING,1
AABEFKRST,BREAKFAST,1
BCIKKORRW,BRICKWORK,1
BEIKNRSSS,BRISKNESS,1
ABCGHINOR,BROACHING,1
BEGIKNORR,BROKERING,1
BBBEGLMUU,BUBBLEGUM,1
BBBEILSTU,BUBBLIEST,1
BEIKLNSSU,BULKINESS,1
BEIMNPSSU,BUMPINESS,1
BGINORRUW,BURROWING,1
BEHINSSSU,BUSHINESS,1
BCDEEHRTU,BUTCHERED,1
BEFLRTTUY,BUTTERFLY,1
BGINNOTTU,BUTTONING,1
AACDENSSV,CANVASSED,1
ACGIINPSZ,CAPSIZING,1
AACEIPTTV,CAPTIVATE,1
ACEFLLRUY,CAREFULLY,1
AABCCEHLT,CATCHABLE,1
AACEGHMNP,CHAMPAGNE,1
CEHIOPPST,CHOPPIEST,1
BBCEHISTU,CHUBBIEST,1
CCGHIKLNU,CHUCKLING,1
ACELLSSSS,CLASSLESS,1
ACDEELRTT,CLATTERED,1
ACGIILMNX,CLIMAXING,1
CCGHIILNN,CLINCHING,1
CCKKLOORW,CLOCKWORK,1
CCGHILNTU,CLUTCHING,1
CCDEELLOT,COLLECTED,1
CDGIILLNO,COLLIDING,1
CIILLNOOS,COLLISION,1
CDGILLNOU,COLLUDING,1
ABCGIMNOT,COMBATING,1
BCGIIMNNO,COMBINING,1
CCDEEMMNO,COMMENCED,1
CDEEMMNOT,COMMENTED,1
CDEIMMOTT,COMMITTED,1
CDIMMOOTY,COMMODITY,1
CIMMNOOOT,COMMOTION,1
CIMMNOTUY,COMMUNITY,1
CGIMMNOTU,COMMUTING,1
ACCDEMOPT,COMPACTED,1
CDEELLMOP,COMPELLED,1
CEEMNOPTT,COMPETENT,1
CEGIMNOPT,COMPETING,1
CGIILMNOP,COMPILING,1
CDEELMOPT,COMPLETED,1
CGILMNOPY,COMPLYING,1
CEMNNOOPT,COMPONENT,1
CGIMNOOPS,COMPOSING,1
CDEMOOPST,COMPOSTED,1
CGIMNOPTU,COMPUTING,1
CDIINNOOT,CONDITION,1
CDGINNNOO,CONDONING,1
CDFGIINNO,CONFIDING,1
CFGIINNNO,CONFINING,1
CFGINNOSU,CONFUSING,1
CDEIJNNOO,CONJOINED,1
CGIJNNORU,CONJURING,1
CGIINNNOV,CONNIVING,1
CEGINNOVY,CONVEYING,1
CCDEINOTV,CONVICTED,1
CCDEINNOV,CONVINCED,1
CDGINOORR,CORRODING,1
CGLMOOOSY,COSMOLOGY,1
CDNNOOTUW,COUNTDOWN,1
ABBCEIRST,CRABBIEST,1
ACCGIKLNR,CRACKLING,1
CGIIKLNNR,CRINKLING,1
CGIILNPPR,CRIPPLING,1
CDOORRSSW,CROSSWORD,1
CCGHINORU,CROUCHING,1
BCGILMNRU,CRUMBLING,1
CGILMNPRU,CRUMPLING,1
CCGHINNRU,CRUNCHING,1
CGILNNNUY,CUNNINGLY,1
CILORSUUY,CURIOUSLY,1
AABBDEELT,DEBATABLE,1
BDDEEEFIR,DEBRIEFED,1
BDEGGGINU,DEBUGGING,1
BDEGIKNNU,DEBUNKING,1
CDEEGIINV,DECEIVING,1
CDDEGINTU,DEDUCTING,1
DEEEGINNP,DEEPENING,1
ADEEFGINT,DEFEATING,1
CDEEEFITV,DEFECTIVE,1
DDEEFGINN,DEFENDING,1
DEEEFINSV,DEFENSIVE,1
ADEFGILNT,DEFLATING,1
CDDEEEFLT,DEFLECTED,1
DEFGIMNOR,DEFORMING,1
CDDEEFKOR,DEFROCKED,1
ADDEEEGLT,DELEGATED,1
DDEEGHILT,DELIGHTED,1
DDEEGINNP,DEPENDING,1
CDEGIINPT,DEPICTING,1
DEEGILNPT,DEPLETING,1
DEGILNOPY,DEPLOYING,1
DEGINOPRT,DEPORTING,1
CDDDEEENS,DESCENDED,1
DEGGIINNS,DESIGNING,1
CDEEGINTT,DETECTING,1
DEEINNOTT,DETENTION,1
ADEGIINTV,DEVIATING,1
DEILOSUVY,DEVIOUSLY,1
ACDGIINTT,DICTATING,1
DGIIIKLNS,DISLIKING,1
DGIINPSTU,DISPUTING,1
DEGIINRTV,DIVERTING,1
DEIINSSZZ,DIZZINESS,1
BBDGIILNR,DRIBBLING,1
DGIILNRZZ,DRIZZLING,1
BDDFMNOUU,DUMBFOUND,1
DFILLTUUY,DUTIFULLY,1
DDGIILNNW,DWINDLING,1
CEEEFFITV,EFFECTIVE,1
ABEGIKMNR,EMBARKING,1
BDEEELMZZ,EMBEZZLED,1
BEEELMRZZ,EMBEZZLER,1
DEEEMOPRW,EMPOWERED,1
ADEEGLNNT,ENTANGLED,1
DEEELNOPV,ENVELOPED,1
EGIINPPQU,EQUIPPING,1
ABEEILQTU,EQUITABLE,1
AEGIIMNNX,EXAMINING,1
AACDEETVX,EXCAVATED,1
CDEEEGINX,EXCEEDING,1
CEEELLNTX,EXCELLENT,1
CEEGILLNX,EXCELLING,1
CEEINOPTX,EXCEPTION,1
CEEEISSVX,EXCESSIVE,1
ACDEEGHNX,EXCHANGED,1
CDEEILTXY,EXCITEDLY,1
ACDEEILMX,EXCLAIMED,1
CDEGILNUX,EXCLUDING,1
CEILNOSUX,EXCLUSION,1
CEEILSUVX,EXCLUSIVE,1
CEEGINTUX,EXECUTING,1
CEEEITUVX,EXECUTIVE,1
AEELMPRXY,EXEMPLARY,1
CDEEEIRSX,EXERCISED,1
AEEFILOTX,EXFOLIATE,1
ADEEHSTUX,EXHAUSTED,1
BDEEHIITX,EXHIBITED,1
ADEGINNPX,EXPANDING,1
AEEINPSVX,EXPANSIVE,1
ACEENPTTX,EXPECTANT,1
EEGILLNPX,EXPELLING,1
EEEINPSVX,EXPENSIVE,1
ADEEILNPX,EXPLAINED,1
EEEILPTVX,EXPLETIVE,1
DEGILNOPX,EXPLODING,1
EGILNOPRX,EXPLORING,1
EILNOOPSX,EXPLOSION,1
EEILOPSVX,EXPLOSIVE,1
EGINOPRTX,EXPORTING,1
DDEENOPUX,EXPOUNDED,1
DEEEPRSSX,EXPRESSED,1
EELPRSSXY,EXPRESSLY,1
EEIIQSTUX,EXQUISITE,1
DEEGINNTX,EXTENDING,1
EEEINSTVX,EXTENSIVE,1
EGILLNOTX,EXTOLLING,1
EGINORTTX,EXTORTING,1
EINOORTTX,EXTORTION,1
EEIMRTTXY,EXTREMITY,1
ACEFINNSS,FANCINESS,1
AEFGHINRT,FATHERING,1
AFGHIMNOT,FATHOMING,1
AEFGINNTT,FATTENING,1
EEFLNRTVY,FERVENTLY,1
EEFGINRST,FESTERING,1
FGHIIINNS,FINISHING,1
EFHIINSSS,FISHINESS,1
FGIILNTTY,FITTINGLY,1
EFIINSSZZ,FIZZINESS,1
ABBEFILST,FLABBIEST,1
AEFIKLNSS,FLAKINESS,1
AABEFLLMM,FLAMMABLE,1
ADEEFLNTT,FLATTENED,1
ADEEFLRTT,FLATTERED,1
CDEEFIKLR,FLICKERED,1
CFGHIILNN,FLINCHING,1
EFFFILSTU,FLUFFIEST,1
DEFLMMOUX,FLUMMOXED,1
DEEFLRSTU,FLUSTERED,1
DEEFLRTTU,FLUTTERED,1
FGILLNOOW,FOLLOWING,1
DFFFOOSTU,FOODSTUFF,1
FHILLOOSY,FOOLISHLY,1
FFLOOOOPR,FOOLPROOF,1
EFLOOOOST,FOOTLOOSE,1
FLOOOOSTT,FOOTSTOOL,1
FGGIINORV,FORGIVING,1
AFIMNOORT,FORMATION,1
ADEFMORTT,FORMATTED,1
